NCT Number,Study Title
NCT05101070,S-531011 as Monotherapy and in Combination With an Immune Checkpoint Inhibitor in Advanced or Metastatic Solid Tumors
NCT07362186,LM-108 in Combination With Toripalimab Versus Paclitaxel Injection for the Treatment of Subjects With CCR8-Positive Gastric and Gastroesophageal Junction Adenocarcinoma
NCT06387628,LM-108 in Combination With PD-1 Based Treatment for Patients With Recurrent or Metastatic Triple - Negative Breast Cancer
NCT07213882,"A Phase 1, Multicenter, Open-label, Prospective, First-in-human Dose-escalation Clinical Trial of Domain Therapeutics' Anti-CCR8 Monoclonal Antibody (DT-7012) in Patients With Relapsed or Refractory Cutaneous T-cell Lymphomas (CTCL)"
NCT05537740,"A First-in-human Study to Learn How Safe the Study Drug BAY3375968, an Anti-CCR8 Antibody, is, When Given Alone or in Combination With Pembrolizumab, How it Affects the Body, How it Moves Into, Through, and Out of the Body, and to Find the Best Dose in Participants With Advanced Solid Tumors"
NCT05007782,Study of Denikitug (GS-1811) Given Alone or With Zimberelimab in Adults With Advanced Solid Tumors
NCT07205718,A Study of TAK-188 in Adults With Advanced or Spreading Solid Tumors
NCT05635643,Study of CHS-114 in Participants With Advanced Solid Tumors
NCT05935098,BGB-A3055 Alone and in Combination With Tislelizumab in Participants With Solid Tumors
NCT06657144,A Study of CHS-114 in Combination With Toripalimab and/or Other Treatments in Participants With Advanced Solid Tumors
NCT06620822,"Efficacy of PD-1 Inhibitor Combination Therapy in Non-small Cell Lung Cancer Patients Who Have Not Achieved Major Pathologic Response After Neoadjuvant Immunotherapy: a Multicenter, Phase II Clinical Trial"
NCT07226856,"BMS-986340 in Combination With Nivolumab, Gemcitabine and Nab-paclitaxel for the Treatment of Metastatic and Recurrent Pancreatic Adenocarcinoma"
