NCT Number,Study Title
NCT07358260,B7-H3.CD28Z.CART in Solid Tumors
NCT06500819,Autologous B7-H3 Chimeric Antigen Receptor T Cells in Relapsed/Refractory Solid Tumors
NCT05515185,B7-H3 Targeting CAR-T Cells Therapy for B7-H3 Positive Solid Tumors
NCT06778603,B7-H3 NIR Imaging for Osteosarcoma Surgery
NCT05942456,Soluble B7-H3 as a Biomarker for Osteosarcoma
NCT04077866,B7-H3 CAR-T for Recurrent or Refractory Glioblastoma
NCT05474378,B7-H3 Chimeric Antigen Receptor T Cells (B7-H3CART) in Recurrent Glioblastoma Multiforme
NCT04897321,B7-H3-Specific Chimeric Antigen Receptor Autologous T-Cell Therapy for Pediatric Patients With Solid Tumors (3CAR)
NCT06158139,Autologous CAR-T Cells Targeting B7-H3 in PDAC
NCT04385173,Pilot Study of B7-H3 CAR-T in Treating Patients With Recurrent and Refractory Glioblastoma
NCT05835687,Loc3CAR: Locoregional Delivery of B7-H3-CAR T Cells for Pediatric Patients With Primary CNS Tumors
NCT02628535,Safety Study of MGD009 in B7-H3-expressing Tumors
NCT07222735,Hypofractionated Radiation in Combination With B7-H3-CAR T Cells for Pediatric Patients With Relapsed/Refractory Sarcomas
NCT06018363,Clinical Study on the Treatment of Malignant Brain Glioma by QH104 Cell Injection
NCT06646627,Clinical Trial of Autologous B7-H3 CAR T Cells in Reoccurent Platinum-resistant Ovarian Tumors
NCT06347068,Study of Autologous CAR-T Cells Targeting B7-H3 in TNBC iC9-CAR.B7-H3 T Cells
NCT04432649,Targeting CD276 (B7-H3) Positive Solid Tumors by 4SCAR-276
NCT02982941,Enoblituzumab (MGA271) in Children With B7-H3-expressing Solid Tumors
NCT05562024,TAA06 Injection in the Treatment of Patients With B7-H3-positive Relapsed/ Refractory Neuroblastoma
NCT04670068,Phase I Study of Autologous CAR T-Cells Targeting the B7-H3 Antigen in Recurrent Epithelial Ovarian
NCT05241392,Safety and Efficacy Study of Anti-B7-H3 CAR-T Cell Therapy for Recurrent Glioblastoma
NCT03406949,MGD009/MGA012 Combination in Relapsed/Refractory Cancer
NCT05366179,Autologous CAR-T Cells Targeting B7-H3 in Recurrent or Refractory GBM CAR.B7-H3Tc
NCT07172958,Selective Antigen Specific T Cells and CAR T Cells in Subjects With Relapsed/Refractory Embryonal Tumors (SABRE)
NCT06454955,Study on B7-H3 Targeted Affibody Radioligand Probes for PET Imaging of Solid Tumors
NCT05752877,Safety and Efficacy of Targeted IL-13 Rα2 or B7-H3 UCAR-T for Advanced Glioma
NCT05190185,A Clinical Trial of TAA06 Injection in Advanced Solid Tumors
NCT03198052,GPC3/Mesothelin/Claudin18.2/GUCY2C/B7-H3/PSCA/PSMA/MUC1/TGFβ/HER2/Lewis-Y/AXL/EGFR-CAR-T Cells Against Cancers
NCT06951243,A Trial of MHB088C in Advanced Extrapulmonary Neuroendocrine Cancer
NCT06305299,Autologous CAR-T Cells Targeting B7H3 in Ovarian Cancer iC9-CAR.B7-H3 T Cells
NCT07189871,"177Lu-BetaBart in Patients With Relapsed/Refractory, Locally Advanced Inoperable, or Metastatic Solid Tumors"
NCT05731219,UTAA06 Injection in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia
NCT06169904,B7-Family Score in Urothelial Carcinoma
NCT02381314,Safety Study of Enoblituzumab (MGA271) in Combination With Ipilimumab in Refractory Cancer
NCT01918930,Tissue Procurement Substudy for Participants in Study CP-MGA271-01
NCT05722171,Clinical Study of UTAA06 Injection in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia
NCT07268053,"A Phase 0/1 Clinical Trial With an Expansion Phase of GSK5764227, a B7-H3-Targeted Antibody-Drug Conjugate (ADC), in Patients With Recurrent Grade 4 Glioma and Patients With Brain Metastases"
NCT05143151,CD276-targeted Chimeric Antigen Receptor T Cells in Treatment With Advanced Pancreatic Cancer
NCT04315246,"177Lu-DTPA-Omburtamab Radioimmunotherapy for Leptomeningeal Metastasis From Solid Tumors (Breast, NSCLC, Malignant Melanoma)"
