changed_today,conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
,"NSCLC, PD-1","This study is an open-label, multi-cohort, multi-center clinical trial evaluating the efficacy, safety, and tolerability of LM-108 monoclonal antibody combined with sintilimab in treatment-naïve or previously treated subjects with locally advanced or metastatic non-small cell lung cancer (NSCLC). There are two cohorts in the study:(1)Cohort 1: NSCLC patients who developed secondary resistance after being sensitive to prior treatment with PD-1 inhibitors (monotherapy or in combination with another systemic therapy) for 6 months or more are eligible for this study.(2)Cohort 2: Patients with locally advanced or metastatic NSCLC who have not received prior systemic treatment are eligible for this study.

Subjects in Cohort 1 will receive LM-108 monoclonal antibody combined with sintilimab. Subjects in Cohort 2 will receive LM-108 monoclonal antibody combined with sintilimab and chemotherapy for 4-6 cycles. LM-108 monoclonal antibody combined with sintilimab will be maintained, and the choice of chemotherapy regimen and the duration of use will be determined by the investigator. Treatment will continue until disease progression, unacceptable toxicity, initiation of a new anti-tumor therapy, withdrawal of informed consent, loss to follow-up, death, or other investigator-determined reasons for discontinuation, whichever occurs first, with a maximum treatment duration of 24 months. The primary study endpoint is the objective response rate (ORR) assessed by the investigator based on the Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1.",50,NCT06479759,2026-02-12,2024-06-24,No Change,LM-108 clinical_1,PHASE2,Objective response rate,"Shanghai Pulmonary Hospital, Shanghai, China",RECRUITING,2025-12-12,2024-01-12,CCR8
,Advanced Solid Tumor,"This is a first-in-human, Phase I/II, open-label, multi-centre, dose escalation and expansion study to evaluate the safety, tolerability, pharmacokinetics, and preliminary anti-tumour activity of LM-108 as a single agent or in combination with an anti-PD-1 mAb in subjects with solid tumours.",78,NCT05199753,2026-02-12,2025-09-06,No Change,LM-108 clinical_7,"PHASE1, PHASE2",Incidence of adverse events (AEs),LaNova Australia Pty Limited,COMPLETED,2024-12-31,2022-03-16,CCR8
,Advanced Pancreatic Cancer,"This trial is the cohort C part of a multicenter, open label Phase Ib/II clinical study evaluating the preliminary efficacy, safety, and tolerability of LM-108 combined with anti-tumor therapy in patients with advanced solid tumors. The dose of LM-108 combined with penpulimab, albumin paclitaxel, and gemcitabine is recommended in Phase Ib.Explore the efficacy and safety of LM-108 combined with anti-tumor therapy in patients with advanced pancreatic cancer in Phase II.",72,NCT06821503,2026-02-12,2025-02-13,No Change,LM-108 clinical_5,"PHASE1, PHASE2",Dose-limiting toxicity (DLT),"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",NOT_YET_RECRUITING,2028-12,2025-02,CCR8
,Advanced Solid Tumor,"Based on overall response rate (ORR) as assessed by the Independent Review Committee (IRC) against the Response Evaluation Criteria in Solid Tumors (RECIST v1.1) criteria for Solid Tumor Efficacy, To evaluate the efficacy of LM-108 in combination with Toripalimab in patients with advanced malignant solid tumours with unresectable or metastatic MSI-H/dMMR who have failed previous anti-PD-1 /PD-L1 therapy.",84,NCT06873854,2026-02-12,2025-03-10,No Change,LM-108 clinical_3,PHASE2,ORR,LaNova Medicines Limited,NOT_YET_RECRUITING,2030-01-26,2025-03-26,CCR8
,Advanced Solid Tumor,"A Phase I/II, Open-Label, Dose Escalation and Expansion Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of LM-108 as a Single Agent or in Combination with Pembrolizumab in Advanced Solid Tumors

The study schedule includes screening visit (28 days prior to accept the investigational medicinal product (IMP)), treatment visit (accept IMP for the first time to the end of treatment (EOT)/early withdrawal), and follow-up visit (28 days after the EOT/early withdrawal).",24,NCT05255484,2026-02-12,2023-10-24,No Change,LM-108 clinical_6,"PHASE1, PHASE2",AEs,LaNova Medicines Limited,TERMINATED,2023-10-06,2022-05-26,CCR8
,Malignant Solid Tumor,"The purpose of this study is to characterize the safety, tolerability, pharmacokinetics (PK), pharmacodynamics (PD), and preliminary antitumor activity of ZL-1218 as a single agent and as combination therapy in subjects with advanced solid tumor malignancies.",34,NCT05859464,2026-02-12,2025-10-14,No Change,ZL-1218 clinical_1,PHASE1,Incidence of Dose Limiting Toxicities,"Zai Lab (Hong Kong), Ltd.",TERMINATED,2025-08-28,2023-07-24,CCR8
,"Non-Small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma, Micro Satellite Stable Colorectal Cancer, Gastric/Esophageal Cancer, High-Grade Serous Ovarian Cancer, Pancreatic Cancer, Triple Negative Breast Cancer","Cancer is a condition where cells in a specific part of body grow and reproduce uncontrollably. Non-Small Cell Lung Cancer (NSCLC) is a solid tumor, a disease in which cancer cells form in the tissues of the lung. Head and Neck Squamous Cell Carcinoma (HNSCC) is a solid tumor, a disease in which cancer cells form in the tissues of the head and neck. The purpose of this study is to assess adverse events and pharmacokinetics of Azirkitug (ABBV-514) as a monotherapy and in combination with Budigalimab or Bevacizumab,.

Bevacizumab is an approved product, while Budigalimab and Azirkitug (ABBV-514) are investigational drugs being developed for the treatment of NSCLC, HNSCC, and other solid tumors. Study doctors put the participants in groups called treatment arms. The maximum-tolerated dose (MTD)/maximum administered dose (MAD) of Azirkitug (ABBV-514) will be explored. Each treatment arm receives a different dose of Azirkitug (ABBV-514) in monotherapy and in combination with Budigalimab or Bevacizumab. Approximately 512 adult participants will be enrolled in the study across approximately 80 sites worldwide.

Participants will receive Azirkitug (ABBV-514) as a monotherapy or in combination with Budigalimab or Bevacizumab as an Intravenous (IV) Infusion for an estimated treatment period of up to 2 years.

There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at a hospital or clinic. The effect of the treatment will be checked by medical assessments, blood tests, checking for side effects and completing questionnaires.",512,NCT05005403,2026-02-12,2025-10-27,No Change,ABBV-514 clinical_1,PHASE1,Number of Participants with Adverse Events (AE),AbbVie,RECRUITING,2027-06,2021-11-01,CCR8
,"Cervical Cancer, Gastric/Gastroesophageal Junction Adenocarcinoma, Microsatellite Stable Colorectal Cancer, Non-Small-Cell Lung Cancer, Squamous Cell Carcinoma of Head and Neck, Carcinoma, Renal Cell, Urothelial Carcinoma, Pancreatic Adenocarcinoma, Melanoma, Ovarian Neoplasms, Triple Negative Breast Neoplasms","The purpose of this study is to assess the safety, tolerability, and recommended dose(s) of BMS-986340 as monotherapy and in combination with nivolumab or docetaxel in participants with advanced solid tumors. This study is a first-in-human (FIH) study of BMS-986340 in participants with advanced solid tumors.",949,NCT04895709,2026-02-12,2025-12-16,No Change,BMS-986340 clinical,"PHASE1, PHASE2",Incidence of adverse events (AEs),Bristol-Myers Squibb,RECRUITING,2028-07-07,2021-05-27,CCR8
,Advanced Solid Tumor,"A Phase I/II, Open-Label, Dose-Escalation and Dose-Expansion Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic Profile and Preliminary Efficacy of LM-108, an Anti-CCR8 Monoclonal Antibody, as Monotherapy or in Combination with Antitumor Therapies in Patients with Advanced Solid Tumors",392,NCT05518045,2026-02-12,2026-02-01,No Change,LM-108 clinical_2,"PHASE1, PHASE2",Phase I Dose Escalation:Incidence of adverse events (AEs),LaNova Medicines Limited,ACTIVE_NOT_RECRUITING,2026-03-31,2022-08-26,CCR8
,Advanced Solid Tumor,"This trial is part of a multicenter, open-label Phase Ib/II clinical study evaluating the efficacy, safety, and tolerability of LM-108 in combination with anti-tumor therapy in patients with advanced solid tumors. Phase Ib of Cohort A1 determines the dose of LM-108 in combination with penpulimab + oxaliplatin + capecitabine. Phase II explores the efficacy and safety of LM-108 in combination with anti-tumor therapy in patients with advanced solid tumors.",194,NCT06825494,2026-02-12,2025-12-10,No Change,LM-108 clinical_4,"PHASE1, PHASE2",Incidence of dose limiting toxicity (DLT) events,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",RECRUITING,2026-09,2025-04-08,CCR8
,Advanced Solid Tumors,"The primary objectives of this study are to:

* Evaluate the safety and tolerability of AMG 355 as monotherapy and in combination with pembrolizumab in participants with advanced solid tumors
* Determine the recommended phase 2 dose and the maximum tolerated dose for AMG 355 as monotherapy and in combination with pembrolizumab in participants with advanced solid tumors.",77,NCT06131398,2026-02-12,2025-12-19,No Change,AMG-355(FPA157) clinical_1,PHASE1,Number of Participants Who Experience a Dose Limiting Toxicity (DLT),Amgen,ACTIVE_NOT_RECRUITING,2026-08-03,2024-03-07,CCR8
,Advanced Solid Tumor,"HC006, a novel therapeutic monoclonal antibody that specifically binds to human C-C motif chemokine receptor 8 (CCR8) and is designed to selectively deplete tumor-infiltrating T regulatory cells (Tregs) with enhanced antibody-dependent cell-mediated cytotoxicity (ADCC). In mouse tumor models, HC006 has demonstrated excellent antitumor activity and safety profile. This first-in-human (FIH) study will be conducted in two parts. In the Dose-Escalation part, testing will be done on up to 31 subjects to determine the maximum tolerated dose (MTD) and the recommended dose (RD). In the Dose-expansion part, we will evaluate the safety and efficacy of the recommended dose of HC006 in the treatment of advanced solid tumor subjects without standard therapy.",76,NCT06304571,2026-02-12,2025-04-30,No Change,HC006 clinical_1,PHASE1,Number of participants with Dose Limiting Toxicities(DLTs)as assessed by protocol,HC Biopharma Inc.,RECRUITING,2026-07-16,2024-02-27,CCR8
,Advanced Solid Tumors and Hematologic Malignancies,"This is a nonrandomized, open-label, multicenter, phase I clinical trial to evaluate the safety, tolerability, pharmacokinetic characteristics, and efficacy of CM369 in subjects with advanced solid tumors and Hematologic Malignancies.",146,NCT05690581,2026-02-12,2024-12-22,No Change,ICP-B05(CM369) clinical_1,PHASE1,Adverse events (AEs),"Beijing InnoCare Pharma Tech Co., Ltd.",RECRUITING,2026-02-28,2023-02-23,CCR8
,"Locally Advanced or Metastatic Solid Tumors, NSCLC, HNSCC, Melanoma, TNBC, Esophageal Cancer, Gastric Cancer, Cervical Cancer, Colorectal Cancer, Urothelial Carcinoma, Clear Cell RCC, HCC","This is a first-in-human study to evaluate the safety, tolerability, pharmacokinetics (PK), and anti-tumor activity of RO7502175 when administered as a single agent and in combination with atezolizumab or pembrolizumab in adult participants with locally advanced or metastatic solid tumors, including non-small-cell lung cancer (NSCLC), head and neck squamous cell carcinoma (HNSCC), melanoma, triple-negative breast cancer (TNBC), esophageal cancer, gastric cancer, cervical cancer, colorectal cancer (CRC), urothelial carcinoma (UC), clear cell renal cell carcinoma (RCC) and hepatocellular carcinoma (HCC). Participants will be enrolled in 2 stages: dose escalation and dose expansion.",450,NCT05581004,2026-02-18,2026-02-16,Changed,RO7502175(RG6411) clinical_1,PHASE1,Phase Ia: Number of Participants with Dose Limiting Toxicities (DLTs),"Genentech, Inc.",RECRUITING,2027-02-28,2022-10-20,CCR8
,Advanced Cancer,"HC006 is an IgG1 monoclonal antibody targeting CCR8, which can specifically clear CCR8-positive tumor infiltrating Treg cells without affecting CD8+ T cell function, thus enhancing the anti-tumor immune response. It has a synergistic effect on anti-tumor effects when combined with PD-1 inhibitors. Based on the existing evidence-based medicine, HC006 combined with PD-1 inhibitors is expected to provide additional treatment benefits in addition to PD-1 inhibitors for a variety of malignant solid tumors including colorectal cancer, head and neck squamous cell carcinoma, gastric cancer, non-small cell lung cancer, cervical cancer, breast cancer, esophageal cancer, pancreatic cancer, ovarian cancer, melanoma, urothelial cancer and renal cancer.",252,NCT06963814,2026-02-12,2025-07-14,No Change,HC006 clinical_2,PHASE1,Incidence of Dose Limiting Toxicities(DLTs),HC Biopharma Inc.,RECRUITING,2027-05-30,2025-07-04,CCR8
