conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
"Head and Neck Neoplasms, MSI-H Cancer, Melanoma","Rationale:

Tumor immunotherapy has demonstrated that therapies focused on enhancing T cell responses against cancer can result in a significant survival benefit in subjects with advanced stages of cancer. The most frequently used immunotherapy drugs bind to the Programmed death-ligand 1 (PD-L1) or programmed death protein 1 (PD-1). This binding interrupts the PD-L1/PD-1 pathway which inhibits an anti-tumor response of the immune system. Not all patients respond to anti-PD-1 or anti-PD-L1 treatment and therefore, combinations of immunotherapy drugs have been investigated and proven more effective than single-agent immunotherapy. These combinations, however, also increase the chance of immune toxicity. Possible strategies to overcome this problem are to develop less toxic combinations of immunotherapy drugs.

The T-cell immunoreceptor with immunoglobulin and ITIM domain (TIGIT) protein is also a target for immunotherapy. TIGIT is overexpressed in several malignancies including, melanoma, head and neck squamous cell carcinoma (HNSCC), and microsatellite instability high (MSI-H) colorectal cancer. The combination of the anti-TIGIT drug tiragolumab with the anti-PD-L1 drug atezolizumab increased the overall response rate by 15.1% compared to atezolizumab alone in a study with non-small cell lung cancer patients (NSCLC), without increasing toxicity.

In this trial, we will assess anti-tumor activity, safety, and tolerability of atezolizumab in combination with tiragolumab in subjects with cancer. We will also investigate proteins in the tumor to determine if we can predict which patients will respond to the atezolizumab and tiragolumab treatment. Patients will be included in one of four cohorts, namely: cohort 1, patients with localized HNSCC who will be treated with atezolizumab and tiragolumab followed by tumor resection, cohort 2, patients with metastatic MSI-H tumors, cohort 3, patients with irresectable or metastatic melanoma who progressed after PD-1 treatment, or cohort 4, with patients with a locally advanced or metastatic solid tumor for whom, based on available clinical data, treatment with anti-PD-L1 immunotherapy may be beneficial. Acquired data could lead to improved, more patient-tailored immune checkpoint inhibition.

Objective:

The main objective of the trial is to determine the pathological response rate in cohort 1 and the radiological response rates in cohort 2, 3 and 4. The secondary objectives of the trial are the safety of atezolizumab and tiragolumab, the response rates measured by overall response rate, disease free survival rate, duration of response and the last secondary objective is to determine the correlation between the protein expression of different proteins involved in the immune response of cancer to immunotherapy and the different response rates as mentioned before.

Main trial endpoints:

Pathologic response of the primary tumor in patients with HNSCC and objective response rate according to RECIST 1.1 and iRECIST in patients with advanced or metastatic MSI-H cancer, metastatic melanoma, and patients with a locally advanced or metastatic solid tumor whom, in the opinion of the investigator, based on available clinical data, may benefit from treatment with anti-PD-L1 immunotherapy.

Secondary trial endpoints:

The secondary endpoints are toxicity scored according to the common criteria for adverse events version 5.0, disease free survival in patients with HNSCC, overall response rate, progression free survival and duration of response in the patients in cohort 2, 3 and 4 as well as The correlation between the expression of the proteins TIGIT, PD-1, PD-L1 and CD8 on tumor tissue and pathologic and radiographic response rate.

Trial design:

Open label phase 2 basket trial with atezolizumab and tiragolumab in patients with localized HNSCC who will undergo surgery, and advanced or metastatic MSI-H cancer, PD-1 resistant metastatic melanoma, and patients with a locally advanced or metastatic solid tumor who, in the opinion of the investigator, based on available clinical data, may benefit from treatment with anti-PD-L1 and anti-TIGIT immunotherapy.

Trial population:

Subjects with localized HNSCC who will undergo surgery, and advanced or metastatic MSI-H cancer, PD-1 resistant metastatic melanoma, and patients with a locally advanced or metastatic solid tumor who, in the opinion of the investigator, based on available clinical data, may benefit from treatment with anti-PD-L1 and anti-TIGIT immunotherapy.

Interventions:

Subjects will receive atezolizumab and tiragolumab every 3-weeks until 1) resection as scheduled for HNSCC after 2 courses, 2) resectable disease for the MSI-H tumors, 3) progressive disease or side effects requiring treatment termination or 4) a maximum of 2 years. At baseline archival tissue or a tumor biopsy will be obtained and tissue will be collected once during the trial and when lesions are surgically resected. Blood samples will be collected during the trial to measure circulating tumor DNA. During the trial regular CT or MRI scans will be made to monitor the response to the treatment.",97,NCT05483400,2026-02-05,2025-03-28,No Change,Open Label Phase 2 Basket Trial With Atezolizumab and Tiragolumab in Solid Tumors,PHASE2,Pathologic response in cohort 1,University Medical Center Groningen,RECRUITING,2027-09,2023-10-18,TIGIT
"Locally Advanced Cancer, Metastatic Cancer","This is an open-label, Phase 1a/b dose escalation study of OMP-31M32 administered as a single agent or in combination with nivolumab to evaluate the safety, tolerability pharmacokinetics, and pharmacodynamics in patients with locally advanced or metastatic solid tumors. This study consists of a screening period, a treatment period and a post-treatment follow-up period in which patients will be followed for survival for up to 2 years. Subjects will be enrolled in two stages in the Phase 1a (dose escalation and expansion) and one stage in the Phase 1b (dose escalation).",33,NCT03119428,2026-02-05,2020-08-10,No Change,A Study of OMP-313M32 in Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Incidence of dose limiting toxicities (DLTs),"OncoMed Pharmaceuticals, Inc.",TERMINATED,2019-05-15,2017-05-02,TIGIT
"Multiple Myeloma, Relapsed Refractory Multiple Myeloma","This study will enroll 104 patients to one of three treatment arms. The study is open to patients relapsing with refractory Multiple Myeloma who have:

* received 3 prior lines of therapy
* exposed to each of these 3 drug classes:

  * IMiD
  * proteasome inhibitors, and
  * anti-CD38 monoclonal antibody
* relapsed and refractory are defined using the IMWG criteria:

  * disease that is non-responsive while on salvage therapy or progresses within 60 days of last therapy in patients who have achieved minimal response or better at some point previously to then progressing in their disease course.",14,NCT04150965,2026-02-05,2025-02-12,No Change,"Immuno-Oncology Drugs Elotuzumab, Anti-LAG-3 and Anti-TIGIT","PHASE1, PHASE2",Overall Response Rate,Multiple Myeloma Research Consortium,TERMINATED,2024-08-30,2020-07-10,TIGIT
"Conjunctivitis, Allergic","Allergic conjunctivitis is a prevalent ocular condition affecting approximately 10-20% of the global population, with 40-60% of allergic individuals exhibiting ocular symptoms. It is characterized by redness, itching, burning, and tearing, which result from excessive activation of immune response cells. Severe forms can significantly impact vision and quality of life, particularly in children, adolescents, and young adults. The disease is mediated by hypersensitivity reactions: Th2 lymphocytes release cytokines (IL-4, IL-5, IL-13) that stimulate IgE production by B lymphocytes. IgE binds to mast cells and induces the release of pro-inflammatory mediators upon allergen recognition. Regulatory T cells (Tregs) play a critical role in maintaining immune homeostasis by suppressing the activation and proliferation of effector T cell subsets, including Th1, Th2, Th9, and Th17, via cell-surface molecules such as TIGIT, LAP-TGF-β, and PD-1. Additionally, Tregs produce IL-10, which suppresses IgE production and induces IgG4 secretion by B cells. Allergen-specific immunotherapy (desensitization) has been employed to reduce symptoms and prevent recurrence in allergic diseases.

Rationale:

Allergic conjunctivitis is a public health concern that affects the quality of life of a substantial portion of the Mexican population. Immunological imbalances between effector T cells and Tregs have been reported. Understanding the balance of these subpopulations and the role of TIGIT and PD-1 molecules in Treg functional status is critical to elucidating disease mechanisms. Moreover, it is important to determine whether desensitization therapy induces changes in the Th2/Treg ratio and modulates TIGIT and PD-1 expression, which could serve as biomarkers of treatment response or therapeutic targets.

Hypothesis:

The effector function and expression of TIGIT and PD-1 on Tregs are decreased in patients with allergic conjunctivitis and are enhanced following desensitization therapy.

Objectives:

The primary objective is to evaluate the effector function and expression of TIGIT and PD-1 on Tregs and the Th2/Treg ratio in patients with allergic conjunctivitis with and without desensitization therapy, compared to healthy controls. Secondary objectives include assessing correlations between immunological parameters and clinical severity of ocular symptoms and response to treatment.

Study Design and Methods:

This observational, cross-sectional, case-control study will include patients with allergic conjunctivitis, with or without desensitization therapy, and healthy control subjects. Peripheral blood and tear samples will be collected once at enrollment. Peripheral blood mononuclear cells will undergo immunophenotyping to quantify Treg and Th2 populations and assess TIGIT and PD-1 expression. Tregs will be isolated for functional assays. Cytokine concentrations associated with Th2 and Treg cells, as well as IgE and IgG4 levels, will be measured in serum and tears.

Statistical Analysis:

Descriptive statistics will summarize participant characteristics and study outcomes. The Shapiro-Wilk test will assess data distribution. Comparisons between two groups will use t-tests (parametric or non-parametric), and comparisons among more than two groups will use ANOVA (parametric or non-parametric). Correlation analyses will evaluate associations between immunological parameters and clinical outcomes. A p-value \<0.05 will be considered statistically significant.",60,NCT07171307,2026-02-05,2025-09-15,No Change,Treg Effector Function and Th2/Treg Ratio in Allergic Conjunctivitis: Effect of Desensitization Therapy,N/A,"To evaluate the effector function and the expression of TIGIT and PD-1 molecules on regulatory T cells, as well as the Th2/Treg, in patients with allergic conjunctivitis with and without allergen-specific immunotherapy, and in healthy control subjects.",Instituto de Oftalmología Fundación Conde de Valenciana,NOT_YET_RECRUITING,2026-09,2026-01-01,TIGIT
"Advanced Tumors, Lymphoma, Metastatic Tumors","A Phase 1/2 Study of HLX301, A Recombinant Humanized Anti-PDL1 and Anti-TIGIT Bispecific Antibody, in patients with locally advanced/metastatic solid tumors or lymphoma.Up to 150 patients will be included in this study. Up to 30 DLT evaluable patients will be enrolled in phase 1a (dose escalation), 40 per-protocol treated patients in phase 1b (dose expansion), and 80 per-protocol treated patients in phase 2. Phase 1a to evaluate safety, dose limiting toxicity (DLT), and the maximum tolerated dose (MTD) of HLX301 in patients with advanced or metastatic tumors who have failed or are intolerant to standard therapy, or for whom no standard therapy is available.Phase 1b to identify the recommended phase 2 dose (RP2D) of HLX301 in patients with advanced or metastatic NSCLC who have failed or are intolerant to standard therapy, or for whom no standard therapy is available.

Phase 2 to evaluate the anti-tumor activity of HLX301 in patients with histologically or cytologically-confirmed non-small cell lung cancer (NSCLC), gastric/esophagogastric junction adenocarcinoma (GC/EGJ), head and neck squamous cell carcinoma (HNSCC), or urothelial carcinoma (UC) tumors that express PD-L1, after one or two prior systemic treatments and without standard therapy。",30,NCT05390528,2026-02-05,2023-08-07,No Change,"A Study Evaluating the Safety, Tolerability, Pharmacokinetic and Efficacy of HLX301(TIGIT×PDL1 Bispecific) in Locally Advanced/Metastatic Solid Tumors or Lymphoma","PHASE1, PHASE2","Phase 1a: The incidence, nature, and severity of adverse events according to the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) v5.0 in patients receiving the trial drug",Shanghai Henlius Biotech,UNKNOWN,2024-12-30,2022-06-20,TIGIT
Advanced Tumor,"This is a single-arm, open-label, Phase I study contains dose escalation stage and dose expansion stage.

The dose escalation stage will be following the accelerated titration design and the classic 3+3 design, with a planned enrollment of 10 to 24 patients with advanced tumors.

The dose expansion stage will be used safe and tolerable doses, with a planned enrollment of 30 patients with advanced tumors.",54,NCT05607563,2026-02-05,2023-02-07,No Change,A Study of PM1009 (Anti-TIGIT/PVRIG) in Patients With Advanced Tumours,PHASE1,Dose Limited Toxicity（DLT）,Biotheus Inc.,UNKNOWN,2023-12,2022-11-21,TIGIT
Chronic Myeloid Leukemia,"Chronic myeloid leukemia (CML) is also known as chronic myelogenous leukemia. It's a type of cancer that starts in certain blood-forming cells of the bone marrow.

In CML, a genetic change takes place in an early (immature) version of myeloid cells that make red blood cells, platelets, and most types of white blood cells (except lymphocytes). This change forms an abnormal gene called BCR-ABL, which turns the cell into a CML cell. The leukemia cells grow and divide, building up in the bone marrow and spilling over into the blood. In time, the cells can also settle in other parts of the body, including the spleen. CML is a fairly slow growing leukemia, but it can change into a fast-growing acute leukemia that's hard to treat.

CML occurs mostly in adults, but very rarely it occurs in children, too. In general, their treatment is the same as for adults.

Chronic myeloid leukemia (CML) is characterized by the expression of the BCR/ABL1 fusion gene and the presence of the Philadelphia chromosome (Ph). The product of this fusion gene is a protein with deregulated tyrosine kinase activity, resulting in a malignant clonal disorder of the hematopoietic stem cells in the bone marrow (BM) and the accumulation of immature myeloid cells in peripheral blood (PB).

The use of tyrosine kinase inhibitors (TKIs) leads to a complete remission rate reaching 83%; however, mutation in the ABL kinase domain results in certain treatment failure. Furthermore, long-lasting side effects of treatment and the cost of TKIs remain a problem Therefore, the development of new TKI agents and combination therapies is urgently needed for CML patients .

Natural killer (NK) cells serve an important role in eliminating malignant cells. The cytotoxic effects of NK cells were first identified against leukemia cells, and it is now hypothesized that they may have a critical role in leukemia therapy.

The cellular functions of NK cells are mediated by their cell surface receptors, which recognize ligands on cancer cells. The role of NK cells is specifically regulated by the activating or inhibitory killer cell immunoglobulin like receptors (KIRs) on their surface, which bind to the human leukocyte antigen (HLA) class I ligands present on the target cells.

There is an abundance of evidence that NK cells can exhibit potent antitumor activity against CML, However, disease-associated mechanisms often inhibit the proper functions of endogenous NK cells, leading to inadequate tumor control and risk for disease progression.

As it is well known, the function of NK cells is precisely regulated by inhibitory and activating receptors.

Recently, T cell immunoreceptor with immunoglobulin and immunoreceptor tyrosine -based inhibitory motif (ITIM domain) (TIGIT) has been identified as a novel NK inhibitory receptor that can lead to NK cell exhaustion and dysfunction.

Targeting TIGIT is believed to restore 4 key function :Restoration of NK function, Depletion of T reg, Increase antigen-specific CD8 memory response and Induction of new antigen-specific CD8 T cells.

TIGIT was first identified as an inhibitory receptor expressed by activated CD4 Tcells , tregs and NK cells. However , direct evidence supporting a clinical role for TIGIT in AML.",65,NCT04818619,2026-02-05,2021-03-25,No Change,TIGIT in Patients With Chronic Myeloid Leukemia,N/A,TIGIT expression frequency on NK cells,Assiut University,UNKNOWN,2022-12,2021-04,TIGIT
Advanced/Metastatic Solid Tumors,"This study is an open-label phase I clinical study to evaluate the safety, tolerability , PK/PD and preliminary efficacy of HLX53 in patients with advanced/metastatic solid tumor. 11-30 subjects with advanced or metastatic solid tumors will be enrolled. The accelerated titration and traditional 3 + 3 dose escalation design will be implemented. Subjects will receive intravenous infusion of HLX53 at different doses according to the order of enrollment. There are 5 preset dose groups, namely 30mg/QW, 150mg/QW, 400mg/QW, 1000mg/Q3W and 2000mg/Q3W, administered by intravenous infusion. Observation period of DLT will last for 21 days after the first administration of HLX53. Maximum tolerated dose (MTD) definition: The highest dose level at which no more than 1 of 6 DLT-evaluable subjects developed DLT. At the MTD dose, at least 6 subjects were evaluable for DLT. When the MTD is determined, the MTD is usually used as the RP2D, or the RP2D is determined based on safety, PK/PD/ADA/NAb characteristics, and potential clinical efficacy.",12,NCT05394168,2026-02-05,2024-03-28,No Change,A Phase I Clinical Study of HLX53 in Advanced/Metastatic Solid Tumors,PHASE1,Adverse event,Shanghai Henlius Biotech,ACTIVE_NOT_RECRUITING,2025-03-04,2022-12-09,TIGIT
Non-Small-Cell Lung Carcinoma,"This is a first-time-in-human (FTIH), open-label, multicenter, multi-part, dose-escalation and dose-expansion study to evaluate the safety, pharmacokinetics (PK), pharmacodynamics, and efficacy of rilvegostomig (AZD2936) in adult participants with stage III unresectable or stage IV NSCLC. The study includes 4 parts: Part A (dose escalation) and Parts B-E (dose expansion).",210,NCT04995523,2026-02-05,2025-11-21,No Change,A Study of AZD2936 Anti-TIGIT/Anti-PD-1 Bispecific Antibody in Participants With Advanced or Metastatic NSCLC,"PHASE1, PHASE2","Percentage of participants with adverse events (AEs) and immune mediated AEs (imAEs), serious AEs (SAEs), dose limiting toxicities (DLTs), vital signs, and abnormal laboratory parameters",AstraZeneca,RECRUITING,2028-03-16,2021-09-14,TIGIT
HIV/AIDS,"Non-diabetic, aviremic HIV-infected individuals on antiretroviral therapy (ART) will be randomized to metformin therapy or to observation for 72 weeks. Primary objective is to assess change over 72 weeks in CD4 T cell negative checkpoint receptors (PD-1 and TIGIT). As secondary objectives the study will look at 72 week change in other immuno-virologic parameters (CD8 T cell negative checkpoint receptors, plasma indoleamine 2,3-dioxygenase (IDO) levels and CD4 T cell and monocyte intracellular HIV DNA and HIV RNA. The study will also explore the 72 week impact of metformin on change in carotid intima-media thickness (cIMT) as a surrogate marker of atherosclerosis, on neuropsychological (NP) performance, strength, and change in body composition.",38,NCT04500678,2026-02-05,2020-08-04,No Change,Impact of Metformin on Immuno-virologic Parameters in HIV,"PHASE2, PHASE3",CD4 T cell PD1+TIGIT+,University of Hawaii,UNKNOWN,2022-12-31,2019-02-01,TIGIT
